Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3D printed case","The case for my macropad",1,6.00,"https://app.slack.com/client/E09V59WQY1E/C083P4FJM46","Printing Legion"
"PCB fabrication and shipping","My fabricated pcb - the base for the macropad",1,6.32,"https://trade.jlcpcb.com/checkout/payMethod/?unionSettleId=ef6227353eb342a4b2aa266e4f1f0516&systemType=order_pcb&orderTypes=order_pcb&calType=PRE_CAL&couponDemo=1&spm=Jlcpcb.Partcart.1002","JLCPCB"
"Ali Express shipping and fees","Shipping",1,2.27,"https://www.aliexpress.us/p/trade/confirm.html?availableProductShopcartIds=81025195134366,81025054474920,81025239479329,81025054362285,81025088699059,81025088643368&aeOrderFrom=main_shopcart&intentionalPayMethod=&curPageLogUid=1774064517052_SwJmHd&spm=a2g0o.cart.0.0","Ali Express"
"Digikey tax and shipping","Shipping",1,7.84,"https://www.digikey.com/ordering/Ship","Digikey"
"M3x5mx4mm heatset inserts","secure threading for the M3 screw",99,0.99,"https://www.aliexpress.us/item/2255800046543591.html","Ali Express"
"M3x16mm screws","Secures top and bottom parts of the cases together",10,1.04,"https://www.aliexpress.us/item/3256805692722422.html?spm=a2g0o.productlist.main.15.6bdaXiwWXiwW4C&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005005879037174%7C_p_origin_prod%3A&algo_pvid=056d9f9f-cd17-4a96-b4b5-7e28a3cb7079&algo_exp_id=056d9f9f-cd17-4a96-b4b5-7e28a3cb7079&pdp_ext_f=%7B%22order%22%3A%2239378%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.11%210.99%21%21%211.11%210.99%21%402101f11417740613553598176ea51c%2112000034679037238%21sea%21US%217455183214%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4adcddb6%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847491&gatewayAdapt=4itemAdapt","Ali Express"
"1u Key caps","The covering for the keys",10,2.33,"https://www.aliexpress.us/item/3256807312571573.html?pdp_npi=4%40dis%21USD%212.36%212.23%21%21%21%21%21%40%2112000041033351612%21ppc%21%21%21&utm_source=chatgpt.com&gatewayAdapt=glo2usa","Ali Express"
"5-pin PCB-mount switch","The keyboard keys",10,2.68,"https://www.aliexpress.us/item/3256806239135691.html?spm=a2g0o.productlist.main.1.555cY61VY61Voz&algo_pvid=f4678bb1-d8bc-4f13-acc6-d405ddda900a&algo_exp_id=f4678bb1-d8bc-4f13-acc6-d405ddda900a-0&pdp_ext_f=%7B%22order%22%3A%222257%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.96%210.99%21%21%2120.28%216.79%21%40210319b017740604574907332ebb44%2112000037120671469%21sea%21US%217455183214%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4adcddb6%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847458&curPageLogUid=wFaqavLZ7pag&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006425450443%7C_p_origin_prod%3A","Ali Express"
"5V SK6812MINI-E rgb leds","Shows colours to indicate signals",10,2.83,"https://www.aliexpress.us/item/3256805154503907.html?spm=a2g0o.cart.0.0.255738daUjnIZC&mp=1&pdp_npi=6%40dis%21USD%21USD%203.88%21USD%202.83%21%21USD%202.83%21%21%21%40210328d417740598605087437e76d7%2112000032670306832%21ct%21US%217455183214%21%211%210%21&_gl=1*ctc1p2*_gcl_aw*R0NMLjE3NzQwNTk2MzMuQ2owS0NRanc0UFBOQmhEOEFSSXNBTW8taWN6aTRJXzhFRUkxVTdYOW5nZHUwR3F6SnFwb29VemlmOGJaQUV5dkF0b2ZXS0tSU0NqTUFya2FBbVZsRUFMd193Y0I.*_gcl_dc*R0NMLjE3NzQwNTk2MzMuQ2owS0NRanc0UFBOQmhEOEFSSXNBTW8taWN6aTRJXzhFRUkxVTdYOW5nZHUwR3F6SnFwb29VemlmOGJaQUV5dkF0b2ZXS0tSU0NqTUFya2FBbVZsRUFMd193Y0I.*_gcl_au*MTM5MDY2MTQ1Ny4xNzc0MDIzODky*_ga*Njc2OTI3NDYwMTEwMDc2LjE3NzQwMjM4ODg0ODQ.*_ga_VED1YSGNC7*czE3NzQwNTc2MzgkbzQkZzEkdDE3NzQwNTk4NjIkajUyJGwwJGgw&gatewayAdapt=glo2usa","Ali Express"
"0.91 inch SSD1306 I2C 128x32 OLED display","Displays information and animations",1,1.79,"https://www.alibaba.com/product-detail/p_1601269142088.html?mark=google_shopping&src=sem_ggl&field=UG&from=sem_ggl&cmpgn=22635874527&adgrp=177485315221&fditm=&tgt=pla-2412849993011&locintrst=&locphyscl=9004156&mtchtyp=&ntwrk=g&device=c&dvcmdl=&creative=756472634791&plcmnt=&plcmntcat=&aceid=&position=&gad_source=1&gad_campaignid=22635874527&gbraid=0AAAAAD8m77rp5yq_D4sar09dZwjHf38Ff&gclid=Cj0KCQjw4PPNBhD8ARIsAMo-icwRKX-Xv21XhIKf2XLIr8hZsyZziY9LSFWxOIcTT2RBpsQoYdHkvzMaAqqmEALw_wcB","Ali Express"
